Taxa,Flowering_BLUE
MO44_PHW65_0050/LH195,66.65175444849231
MO44_PHW65_0050/PHT69,64.40903686883884
MO44_PHW65_0052/LH195,67.06248517618563
MO44_PHW65_0052/PHT69,64.23853117946035
MO44_PHW65_0056/LH195,65.62311109300029
MO44_PHW65_0056/PHT69,64.11457706084293
MO44_PHW65_0060/LH195,66.82251805813182
MO44_PHW65_0060/PHT69,64.86814088621135
MO44_PHW65_0063/LH195,65.87395614340956
MO44_PHW65_0063/PHT69,63.86010773362389
MO44_PHW65_0067/LH195,66.93558823086373
MO44_PHW65_0067/PHT69,64.6255004830749
MO44_PHW65_0068/LH195,67.22167144821448
MO44_PHW65_0068/PHT69,64.67381823450626
MO44_PHW65_0069/LH195,66.69964899182122
MO44_PHW65_0069/PHT69,63.33471220017911
MO44_PHW65_0073/LH195,66.26771433140584
MO44_PHW65_0073/PHT69,64.83313722528945
MO44_PHW65_0074/LH195,66.26820461334523
MO44_PHW65_0074/PHT69,63.799947104553496
MO44_PHW65_0080/LH195,68.42952829486838
MO44_PHW65_0080/PHT69,64.49725198187264
MO44_PHW65_0083/LH195,67.02453469475073
MO44_PHW65_0083/PHT69,64.51242209989837
MO44_PHW65_0084/LH195,67.57899254386538
MO44_PHW65_0084/PHT69,64.74288975929402
MO44_PHW65_0092/LH195,66.99890938165775
MO44_PHW65_0092/PHT69,64.66488281648486
MO44_PHW65_0093/LH195,66.81931288826729
MO44_PHW65_0093/PHT69,64.78516857881561
MO44_PHW65_0098/LH195,67.19700669631108
MO44_PHW65_0098/PHT69,65.76549511363672
MO44_PHW65_0099/LH195,66.18247577801823
MO44_PHW65_0099/PHT69,64.12050084238258
MO44_PHW65_0102/LH195,65.48384380960455
MO44_PHW65_0103/LH195,66.53355766497509
MO44_PHW65_0103/PHT69,64.66799923669586
MO44_PHW65_0104/LH195,66.79630999654478
MO44_PHW65_0104/PHT69,64.51613602480711
MO44_PHW65_0105/LH195,67.61629298090058
MO44_PHW65_0105/PHT69,64.79079914948522
MO44_PHW65_0111/LH195,67.93744822225906
MO44_PHW65_0111/PHT69,64.63803311743703
MO44_PHW65_0113/LH195,66.8928782654122
MO44_PHW65_0113/PHT69,65.30764237251768
MO44_PHW65_0115/LH195,67.41687720640404
MO44_PHW65_0115/PHT69,65.22874947219464
MO44_PHW65_0116/LH195,66.06229051049397
MO44_PHW65_0116/PHT69,63.47999663802496
MO44_PHW65_0118/LH195,67.04127864744721
MO44_PHW65_0118/PHT69,63.79106484717959
MO44_PHW65_0120/LH195,66.17485262272206
MO44_PHW65_0120/PHT69,64.51895344182192
MO44_PHW65_0121/LH195,67.28076765532504
MO44_PHW65_0121/PHT69,63.99162361138577
MO44_PHW65_0128/LH195,67.46339214409727
MO44_PHW65_0128/PHT69,64.54096414757964
MO44_PHW65_0134/LH195,66.16310332370968
MO44_PHW65_0134/PHT69,63.698754185923505
MO44_PHW65_0135/LH195,67.06249178044727
MO44_PHW65_0135/PHT69,63.18052841798988
MO44_PHW65_0136/LH195,67.46041943631883
MO44_PHW65_0136/PHT69,64.81282067350145
MO44_PHW65_0139/LH195,67.12508605417662
MO44_PHW65_0139/PHT69,64.25342585350734
MO44_PHW65_0140/LH195,68.02119340496917
MO44_PHW65_0140/PHT69,65.04821578292163
MO44_PHW65_0144/LH195,67.96834045813515
MO44_PHW65_0144/PHT69,64.40218390206762
MO44_PHW65_0145/LH195,66.50819487009711
MO44_PHW65_0145/PHT69,64.29499284777663
MO44_PHW65_0147/LH195,67.45239420279435
MO44_PHW65_0147/PHT69,64.17889413780313
MO44_PHW65_0150/LH195,67.18990806626822
MO44_PHW65_0150/PHT69,64.42274863277441
MO44_PHW65_0151/LH195,66.61666723748283
MO44_PHW65_0151/PHT69,63.39517194019442
MO44_PHW65_0154/LH195,67.35465339116436
MO44_PHW65_0154/PHT69,64.20730776484011
MO44_PHW65_0155/LH195,67.15171768039869
MO44_PHW65_0155/PHT69,63.97798214320998
MO44_PHW65_0157/LH195,66.43363326346534
MO44_PHW65_0157/PHT69,64.7209448953496
MO44_PHW65_0159/LH195,65.55845819758633
MO44_PHW65_0159/PHT69,63.00141145416894
MO44_PHW65_0160/LH195,66.2426953342528
MO44_PHW65_0160/PHT69,64.15439368911589
MO44_PHW65_0163/LH195,65.56327610434069
